italian,english
gatto,cat
cane,dog
casa,house
albero,tree
fiore,flower
libro,book
mela,apple
penna,pen
tavolo,table
sedia,chair
finestra,window
porta,door
mano,hand
piede,foot
sole,sun
luna,moon
stella,star
nuvola,cloud
acqua,water
vino,wine
birra,beer
caffè,coffee
tè,tea
latte,milk
pane,bread
burro,butter
formaggio,cheese
uovo,egg
carne,meat
pesce,fish
pollo,chicken
patata,potato
carota,carrot
banana,banana
arancia,orange
limone,lemon
fragola,strawberry
cioccolato,chocolate
zucchero,sugar
sale,salt
piatto,plate
cucchiaio,spoon
forchetta,fork
coltello,knife
bicchiere,glass
tazza,cup
bottiglia,bottle
valigia,suitcase
zaino,backpack
borsa,bag
cappello,hat
guanti,gloves
sciarpa,scarf
giacca,jacket
camicia,shirt
pantaloni,pants
gonna,skirt
vestito,dress
scarpe,shoes
calze,socks
orologio,watch
anello,ring
collana,necklace
orecchini,earrings
ombrello,umbrella
occhiali,glasses
specchio,mirror
pettine,comb
spazzola,brush
sapone,soap
asciugamano,towel
lenzuola,sheets
cuscino,pillow
materasso,mattress
divano,sofa
poltrona,armchair
lampada,lamp
televisione,television
computer,computer
cellulare,mobile phone
chiave,key
serratura,lock
martello,hammer
cacciavite,screwdriver
pinze,pliers
forbici,scissors
nastro adesivo,tape
colla,glue
matita,pencil
gomma,eraser
righello,ruler
temperino,sharpener
quaderno,notebook
calendario,calendar
busta,envelope
francobolli,stamps
giornale,newspaper
rivista,magazine
dizionario,dictionary
atlante,atlas
mappa,map
globo,globe
bussola,compass
orologio,clock
sveglia,alarm clock
candela,candle
accendino,lighter
fiammiferi,matches
cenere,ash
fuoco,fire
ghiaccio,ice
neve,snow
pioggia,rain
vento,wind
tuono,thunder
lampo,lightning
arcobaleno,rainbow
terra,earth
montagna,mountain
collina,hill
valle,valley
fiume,river
lago,lake
mare,sea
oceano,ocean
isola,island
sabbia,sand
roccia,rock
pietra,stone
cemento,cement
mattone,brick
legno,wood
vetro,glass
metallo,metal
oro,gold
argento,silver
bronzo,bronze
rame,copper
ferro,iron
acciaio,steel
alluminio,aluminum
plastica,plastic
gomma,rubber
carta,paper
cartone,cardboard
corda,rope
filo,thread
tessuto,fabric
pelle,leather
lana,wool
cotone,cotton
seta,silk
pizzo,lace
bottone,button
cerniera,zipper
ago,needle
uncinetto,crochet
ricamo,embroidery
pittura,painting
disegno,drawing
scultura,sculpture
fotografia,photography
musica,music
strumento,instrument
chitarra,guitar
violino,violin
pianoforte,piano
batteria,drums
flauto,flute
tromba,trumpet
violoncello,cello
sassofono,saxophone
microfono,microphone
danza,dance
balletto,ballet
teatro,theater
film,movie
poesia,poetry
romanzo,novel
racconto,story
favola,fable
gioco,game
puzzle,puzzle
bambola,doll
orsacchiotto,teddy bear
palla,ball
freccette,darts
scacchi,chess
calcio,soccer
basket,basketball
tennis,tennis
nuoto,swimming
corsa,run
bicicletta,bicycle
automobile,car
treno,train
aeroplano,airplane
nave,ship
camion,truck
motocicletta,motorcycle
barca,boat
canoa,canoe
remo,oar
vela,sail
timone,rudder
ancora,anchor
faro,lighthouse
segnaletica,signs
cartello,sign
semaforo,traffic light
parcheggio,parking
fermata,stop
biglietto,ticket
taxi,taxi
autobus,bus
metro,subway
stazione,station
aeroporto,airport
porto,port
doccia,shower
vasca,bathtub
rubinetto,faucet
doccetta,shower head
shampoo,shampoo
dentifricio,toothpaste
spazzolino,toothbrush
rasoio,razor
asciugacapelli,hair dryer
accappatoio,bathrobe
spugna,sponge
secchio,bucket
mocio,mop
scopa,broom
paletta,dustpan
aspirapolvere,vacuum cleaner
detersivo,detergent
candeggina,bleach
ammorbidente,fabric softener
ferro da stiro,iron
asse da stiro,ironing board
lavanderia,laundry
bucato,laundry
stendino,clothesline
molletta,clothespin
scrivania,desk
libreria,bookcase
comodino,nightstand
cassettiera,dresser
armadio,wardrobe
letto,bed
coperta,blanket
tenda,curtain
tappeto,carpet
tovaglia,tablecloth
tovagliolo,napkin
pentola,pot
padella,pan
tagliere,cutting board
grattugia,grater
frullatore,blender
forno,oven
fornello,stove
frigorifero,refrigerator
congelatore,freezer
bollitore,kettle
tostapane,toaster
forno a microonde,microwave
lavastoviglie,dishwasher
mestolo,ladle
apriscatole,can opener
schiaccianoci,nutcracker
cavatappi,corkscrew
macina caffè,coffee grinder
macina pepe,pepper mill
mortaio,mortar
pestello,pestle
bilancia,scale
timer,timer
tovaglietta,placemat
sottobicchiere,coaster
teglia,baking tray
padella,skillet
pentola a pressione,pressure cooker
insalatiera,salad bowl
scodella,bowl
piatto piano,plate
piatto fondo,bowl
ciotola,bowl
zuccheriera,sugar bowl
lattiera,creamer
oleiera,oil cruet
aceto,vinegar
olio,oil
pepe,pepper
erbe aromatiche,herbs
spezie,spices
aglio,garlic
cipolla,onion
pomodoro,tomato
cetriolo,cucumber
melanzana,eggplant
zucchina,zucchini
peperone,pepper
cavolfiore,cauliflower
broccoli,broccoli
spinaci,spinach
lattuga,lettuce
rucola,arugula
radicchio,radicchio
cavolo,cabbage
tastiera,keyboard
mouse,mouse
altoparlante,speaker
auricolare,headphones
fotocamera,camera
videocamera,video camera
proiettore,projector
schermo,screen
colori,colors
pennello,brush
tela,canvas
pastelli,crayons
gesso,chalk
lavagna,blackboard
borraccia,water bottle
zainetto,backpack
astuccio,pencil case
diario,diary
fumetto,comic book
stivali,boots
calzini,socks
cintura,belt
bretelle,suspenders
cravatta,tie
papillon,bow tie
maglietta,t-shirt
maglione,sweater
cappotto,coat
giubbotto,jacket
foulard,scarf
braccialetto,bracelet
portafoglio,wallet
borsetta,purse
trolley,trolley
ombrellone,beach umbrella
telo mare,beach towel
costume da bagno,swimsuit
pinne,fins
maschera,mask
boccaglio,snorkel
pallone,ball
racchetta,racket
pattini,skates
sci,skis
snowboard,snowboard
casco,helmet
tenda,tent
sacco a pelo,sleeping bag
torcia,flashlight
binocolo,binoculars
macchina fotografica,camera
telecomando,remote control
lettore cd,cd player
lettore dvd,dvd player
videogame,video game
yo-yo,yo-yo
aquilone,kite
frisbee,frisbee
damigiana,demijohn
barattolo,jar
scatola,box
vaso,vase
frusta,whisk
posate,cutlery
bricco,kettle
caffettiera,coffee maker
aspirapolverere,vacuum cleaner
strofinaccio,rag
